tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
5.871,19.613,1.202,9.861,14.331,3.516,13.262,3.767,11.82,6.119,135
8,19.559,1.163,8.507,10.635,4.841,13.325,3.133,12.376,4.956,137
9.037,18.852,1.93,9.465,12.632,5.132,10.619,4.465,10.263,3.112,137
7.961,18.695,1.48,8.929,13.105,3.747,13.24,4.726,11.071,5.892,139
7.027,17.028,1.518,8.704,11.005,5.354,14.452,4.461,12.901,6.262,138
7.827,18.096,1.377,9.861,10.967,6.215,10.896,5.743,10.261,5.86,135
8.558,19.08,1.551,8.437,13.022,3.225,15.406,4.354,13.024,6.049,141
6.191,19.198,1.085,8.291,12.175,3.045,13.211,4.825,12.738,4.664,136
8.49,12.277,1.688,8.419,14.944,4.658,10.602,5.643,14.162,5.259,138
9.705,19.12,1.713,8.405,11.071,4.157,13.315,3.667,12.115,6.208,140
8.651,19.809,1.686,8.382,13.931,5.459,12.907,5.718,10.38,6.29,142
5.076,15.677,1.491,9.356,12.975,4.341,15.211,4.126,12.613,3.906,136
8.218,18.77,1.282,8.004,14.503,5.676,11.44,5.439,11.738,3.231,133
7.477,14.399,1.262,9.567,10.351,6.437,13.19,4.199,10.223,4.831,139
6.738,14.79,1.336,9.32,14.857,6.408,14.809,5.786,11.287,5.067,136
6.211,19.827,1.877,9.638,14.556,4.92,14.883,5.216,14.494,4.309,139
10.4,17.548,1.131,8.131,12.401,4.929,14.308,3.304,12.697,6.111,141
9.975,13.311,1.637,8.901,13.379,6.143,12.535,5.857,11.416,6.472,138
7.631,17.427,1.26,9.985,10.119,5.721,15.054,6.349,14.893,3.531,137
5.572,19.591,1.457,9.715,13.376,5.707,13.38,5.858,12.635,5.978,140
9.625,19.568,1.975,9.283,13.619,3.802,10.805,4.843,12.289,6.083,138
11.404,16.375,1.897,8.528,15.225,6.193,11.709,5.51,14.495,5.397,139
9.894,19.552,1.433,9.08,11.479,3.433,11.947,3.05,11.502,4.399,136
11.598,13.196,1.712,9.8,15.089,6.256,13.515,6.323,12.129,4.504,136
7.427,16.985,1.728,8.134,11.245,4.076,13.364,6.078,13.132,4.453,140
8.109,13.781,1.098,9.832,12.219,5.788,12.787,5.937,13.087,4.437,137
10.569,15.211,1.121,8.781,13.702,6.215,11.706,3.121,14.482,3.55,139
11.636,12.182,1.256,8.562,11.283,3.666,13.857,3.176,14.239,4.985,139
5.196,15.428,1.376,8.181,14.255,3.889,13.762,6.149,14.831,3.461,137
